,,,,,,,,,,,,,,,,,,,
NOMBRE,MD5,SHA1,SHA256,SSDEEP,MITRE,THIP,PWATTS,EFWD,TCSAR,DIIA,IOHSPS,ILE,ASTSPD,PSTS,NAWD,TCAEOWR,KT,TPHTMC,Y
icap.py,9E7C29837DA25C37DFA51004D02CD92C,5F51C586A1E9E48FD4B7181101A1F457344A2E6F,D03A73DC27CD83618F09869B9E1DECF5D862757023EAE45708935C3E6D47D182,384:0uuUW3eOsyPkfYeODZPk2eOuceOEY7OblAKnX41kpml1o:0UYeOsaleODFleOuceOEY7OblAKnXW8X,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dnsd.py,E0F5C088A95B518DCE49B2539AF90B9E,AE5E2FCC17205F76EF3D9E7C1506CC33FD998123,EB7A457BC734558BE174ECFCD49343D4F41B3EE306F9E1004948807F7B893B82,48:Iy++Ou8e6zG2dGFLP+k6h8JBXHzSJxYkX+kQod4B2KS8joIRwm8:IgOu8V6HQuJ09uRY,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result.ejs,450E2F8AF68936D92157B3443B09DDA0,976D0E97E13966501098CB4556BA9974B080C1F4,177DD4C33C26806DE49BC32F0D4D5E4082BDF89BCE298E2428E6DF7CFCE38318,24:hP3UWZuBSfN2zL+RtJRRnIP7W7gA1wrwaL1w8w5qRRsQnRRZfaiMCHRYX8rYlNcX:t3UBwJUAYL+qNdUCHRPoNCvODC5,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
panel.ejs,D9AE1B3D1F82DE4571F028EC78A0DAB1,5CAF93E11FD4B389D33EF0D7CFE55CCC85D7E10B,FDCD689DB876AB0F59A334604564A3D88E28A19DFA9D731B6A9D378DB69075D4,384:RX/rdrLrKzeqYoKxz21L8HSeewxlNavJJWLcBYNKt8ZUzdWfcDhcKIqINd8ZUzdw:zrLrKaqYoJzTMUzd6aVDmMUzdc2VY,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
notfound.ejs,7E284F60FDB394EC04EA501B51A6AFC0,93F4D66147D78F2047535A03C4C1A6C15AB3FABE,3B14E05B78A9DDBAC30E6377E499BF26B5AEC9DC7C191C94F1821873E727A79C,3:qVodNsGGFkvvrRUey3MRJv0AEtolFxMdNIhlRUeyZWBF/+acWWGb:qkNsGSkHrCecMH0AEkxMfI3Cev+XfGb,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
login.ejs,487F8A4BB77B5E56751D279CC070E0D4,22C43B25B9D6775A243D74FDB2F1CABC3CA13FC7,B2790FA8CFAA615603F4F1A90202A85C69F094EF70EAFC2EA04AEE4825F5CBB6,12:hYviO3YAEnnyBLJD+ho4zJBL3S+/xL/D+CJR/zHWOQ4L3oJDy/xyUCJDVmD9kKRM:hYviKfJD+hBVxLrbQRNq4NO9zJuJ8eim,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
agents.ejs,B2496A9E7724F1E161A5D761D0B4CF8F,D0524264AE8EA8A8A5D0B3E97DD4B1492C8E5449,6B6583397AA13794DFA28DB55FEF0C4E9FEE4D6FB2D788447647CD1803213883,192:9JRB6dcdNZhZLrkXxkeMBHWt/xJThLHeXjp9Ap9PEp9mMp9mFKCdp9Mp9x098ZUY:/7BkXxk1HWtJJThLY098ZUzdWfcDhcK4,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
index.js,4B7A9AAC2C54E1DEAB2020F58DD1B840,47108D332AB1DDBE3ADD1D36AB01FE78C9C03108,DB4EBEE7961AE491F08A31DA5338F63059105303BFCB8CFE6896234FB60CD352,768:+Nt1QYQUkhE0VE9kK5/w5DtRanAkDGFh7iC:C2R,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop dnsmasq,E5F6AEDA51D714D8EAD822847FEE2961,339F2ACADC2127FCACB838704C0DD660DF574567,55D4A38AB19E375B3032EC2B3EA3D6ACA679537043788EFDF9DA2BE38D00AD51,3:ss8K7Bi6/UECreeoiECAkoiECAp3EspGOBnDXyWRuvRKFWpGOn9EBvRKFOIJEJJ8:UK7Bd/UECHoiUkoiUp3YOBnDXFRuJKOT,"Discovery
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
install_pachages.bat,0A800794592F1446590768631EA5F5C5,7D121A36EB9B7FD5765C2C9FBACD54A221D76C5A,B7D1A1E49C5B12AB546EFC930EB5739E758B0F7D588DE51907F80BEADAF2881A,12:CnAK1T1nANJ41r41BYc1If1Uc1nBM1hM15IX1fUfbJBVY7UPovCfUx:0AK1lANJ4GLYc4Sc7MLMH+hibJBVY7UU,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nstalling mongo_nodejs,4B08615AF28508466A49332E20F13CAB,65ED411DCE3788179D7A58D79506A32D7B42F251,82362854B4368D18658710800B4551328522FE86A8118BC3EC800A9060E45ED4,12:wDEsL7RbeMZCLmiyhBNpNycoLKv6bpNyTrsKv68:wDEsL7YpLmZBsn+6STrb68,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filesList,EBE542AE0E24387B3B23553C3BF47B60,7CED9B20EAED8A124603D0DE2321153DE008DBB6,8B3CD33E05BD420A3C444B06FEE46E4668B96D06A66FF148D9F08B28E2BDBB5A,3:xsVFZFKF9K4GOXTCbMJAWsjrSwvv:xsv7KFzGeCUzgHvv,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srvr.js,37FDFE356ADB362D253E7CA533018B51,7C995195D425F5E2E2070B4BAB15D67BCFDF505F,228D1F1D90F26B64AB57E220AE0D883DDC3887A861CC935993ED0472B6083F61,384:SNz4QeF7Z3zu7XqBuSUPRN7l9GIk9SWRBDZbsTcTl9KV4YokN54iSnFx:SN4QeK7mBDZbC273x,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
