NOMBRE,MITRE,THIP,PWATTS,EFWD,TCSAR,DIIA,IOHSPS,ILE,ASTSPD,PSTS,NAWD,TCAEOWR,KT,TPHTMC,Y
icap.py,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dnsd.py,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result.ejs,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panel.ejs,"F
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
notfound.ejs,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
login.ejs,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agents.ejs,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
index.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop dnsmasq,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
install_pachages.bat,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nstalling mongo_nodejs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filesList,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srvr.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ToggleSwitch.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srvr.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read me.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Login_v1.zip,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ApplicationInsights.config,"F
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
FoxPanel.csproj,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FoxPanel.csproj.user,"F
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global.asax,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global.asax.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
packages.config,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web.config,"F
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web.Debug.config,"F
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighShell.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error4.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpiredPassword.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyMaster.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lap1.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poster.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AddPhoneNumber.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confirm.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forgot.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockout.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Login.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manage.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManageLogins.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManagePassword.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Register.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RegisterExternalLogin.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResetPassword.aspx.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResetPasswordConfirmation.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwoFactorAuthenticationSignIn.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VerifyPhoneNumber.aspx.designer.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
license.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readme.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PoisonText.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copying.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntityFramework.help.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpiredPassword.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManLib.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minion.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newtonsoft.Json.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main.css,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
util.css,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELP-US-OUT.txt,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat-Black.ttf,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighShellLocal.aspx,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7za.exe,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbt.exe,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rx.exe,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
main.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
send.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility.js,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
download.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManLib.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManTypeInfo.h,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManTypeInfo.tlb,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManTypeInfo_i.c,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
browserconfig.xml,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
site.webmanifest,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UserLogin.cs,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
payload.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quax_A_BOOT.IMA,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builder.vcxproj,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builder.vcxproj.filters,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builder.vcxproj.user,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decryptor.exe,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decryptor.ilk,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decryptor.pdb,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decryptor.cpp,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
global_parameters.cpp,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memory.h,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decryptor.Build.CppClean.log,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vc142.idb,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vc140.pdb,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaRandom2.h,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DirectXApps.sdb
",D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AcRes.dll,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXSEXT.ecf,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
